CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2012,9,85322410,11,267,SP,4,817600,48000,23,801,90,0
2012,10,85322410,11,399,RS,4,817600,7600,19,535,257,1
2012,10,85322410,11,493,SP,4,817600,8620997,222,18855,4991,5
2012,5,85322410,11,455,SP,4,817700,10685000,245,47175,4077,48
2012,10,85322410,11,379,PR,4,915200,10,0,1,0,0
2012,12,85322410,11,161,MG,4,817700,3845484,34,4753,885,3
2012,1,85322410,11,741,SP,4,817700,3903360,123,16168,1937,2
2012,3,85322410,11,190,AM,4,227700,156464052,6096,573155,56725,491
2012,12,85322410,11,161,SP,1,817800,9083449,1665,48960,2138,38
2012,11,85322410,11,741,AM,1,227600,1638100,208,5989,382,5
2012,10,85322410,11,399,SC,4,817600,78000,9,2936,36,4
2012,9,85322410,11,267,SP,4,817700,7104000,89,27588,910,26
2012,12,85322410,11,741,AM,1,227600,1628100,65,6664,89,4
2012,3,85322410,11,267,AM,4,227700,1632546,76,15012,1885,25
2012,2,85322410,11,160,AM,4,227700,166710134,3029,334920,32807,266
2012,6,85322410,11,493,PR,4,915200,252500,48,1457,398,2
2012,7,85322410,11,160,BA,4,517700,3537000,364,8800,4891,9
2012,3,85322410,11,161,MG,4,817700,321500,6,2112,113,3
2012,3,85322410,11,493,RS,4,1017600,80500,7,8785,119,20
2012,6,85322410,11,190,SP,4,817600,20263438,473,134761,6681,111
2012,5,85322410,11,161,SP,4,817700,82052648,1867,199142,18346,131
